"","X","Species","Latitude","Longitude","Oiling","Condition","BirdCount","Date_","Oil_Cond","Date","week.number","Alive","Common","Family","Quarter"
"1",1,"American Coot",30.12399,-89.23098,"Unknown","Dead",1,"2010-09-05",5,2010-09-05,36,0,"Rails, Gallinules, Coots","Rallidae","08-02-2010 to 09-19-2010"
"2",2,"American Coot",30.38182,-86.41828,"Visibly Oiled","Dead",1,"2010-08-05",4,2010-08-05,32,0,"Rails, Gallinules, Coots","Rallidae","08-02-2010 to 09-19-2010"
"5",5,"American Coot",30.3413,-87.07545,"Visibly Oiled","Dead",1,"2010-06-18",4,2010-06-18,25,0,"Rails, Gallinules, Coots","Rallidae","05-05-2010 to 06-20-2010"
"24",24,"American White Pelican",28.96411,-89.40094,"Unknown","Dead",1,"2010-05-13",5,2010-05-13,20,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"25",25,"American White Pelican",29.28425,-90.37713,"Visibly Oiled","Dead",1,"2010-06-14",4,2010-06-14,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"26",26,"American White Pelican",29.29649,-89.66432,"Unknown","Dead",1,"2010-05-25",5,2010-05-25,22,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"27",27,"American White Pelican",29.06301,-90.22633,"Unknown","Dead",1,"2010-06-15",5,2010-06-15,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"29",29,"American White Pelican",29.63611,-90.42472,"Unknown","Dead",1,"2010-06-09",5,2010-06-09,24,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"31",31,"American White Pelican",29.29649,-89.66432,"Visibly Oiled","Dead",1,"2010-05-25",4,2010-05-25,22,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"32",32,"American White Pelican",29.39912,-89.40567,"Not Visibly Oiled","Dead",1,"2010-08-19",3,2010-08-19,34,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"36",36,"American White Pelican",29.02378,-89.21603,"Unknown","Dead",1,"2010-05-20",5,2010-05-20,21,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"47",47,"Black Crowned Night Heron",30.62203,-88.12915,"Not Visibly Oiled","Dead",1,"2010-07-19",3,2010-07-19,30,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"50",50,"Black Crowned Night Heron",30.34372,-89.14278,"Visibly Oiled","Dead",1,"2010-07-02",4,2010-07-02,27,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"51",51,"Black Crowned Night Heron",30.39916,-88.89713,"Not Visibly Oiled","Dead",1,"2010-07-31",3,2010-07-31,31,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"52",52,"Black Crowned Night Heron",30.38586,-88.14488,"Not Visibly Oiled","Dead",1,"2010-08-24",3,2010-08-24,35,0,"Herons, Bitterns, Eggrets","Ardeidae","08-02-2010 to 09-19-2010"
"53",53,"Black Crowned Night Heron",30.32232,-88.21037,"Not Visibly Oiled","Dead",1,"2010-07-19",3,2010-07-19,30,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"57",57,"Black Crowned Night Heron",30.35814,-88.67741,"Not Visibly Oiled","Dead",1,"2010-08-05",3,2010-08-05,32,0,"Herons, Bitterns, Eggrets","Ardeidae","08-02-2010 to 09-19-2010"
"58",58,"Black Crowned Night Heron",29.35201,-89.8728,"Visibly Oiled","Dead",1,"2010-07-11",4,2010-07-11,28,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"59",59,"Black Crowned Night Heron",29.92084,-89.26095,"Visibly Oiled","Dead",1,"2010-07-23",4,2010-07-23,30,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"60",60,"Black Crowned Night Heron",30.23994,-87.74407,"Not Visibly Oiled","Dead",1,"2010-07-19",3,2010-07-19,30,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"61",61,"Black Crowned Night Heron",29.03218,-89.30314,"Visibly Oiled","Dead",1,"2010-07-21",4,2010-07-21,30,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"62",62,"Black Crowned Night Heron",28.46,-88.2,"Visibly Oiled","Dead",1,"2010-07-16",4,2010-07-16,29,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"64",64,"Black Crowned Night Heron",29.92084,-89.26095,"Unknown","Dead",1,"2010-07-23",5,2010-07-23,30,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"65",65,"Black Crowned Night Heron",30.22499,-88.14509,"Not Visibly Oiled","Dead",1,"2010-07-20",3,2010-07-20,30,0,"Herons, Bitterns, Eggrets","Ardeidae","06-21-2010 to 08-01-2010"
"67",67,"Black Skimmer",29.39135,-89.32151,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"69",69,"Black Skimmer",30.06896,-89.20711,"Not Visibly Oiled","Dead",1,"2010-09-10",3,2010-09-10,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"70",70,"Black Skimmer",30.39104,-88.97044,"Not Visibly Oiled","Dead",1,"2010-07-12",3,2010-07-12,29,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"71",71,"Black Skimmer",30.23831,-88.26695,"Not Visibly Oiled","Dead",1,"2010-08-06",3,2010-08-06,32,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"72",72,"Black Skimmer",29.39135,-89.32151,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"73",73,"Black Skimmer",29.39122,-89.32127,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"74",74,"Black Skimmer",29.39135,-89.32151,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"75",75,"Black Skimmer",30.00494,-89.20409,"Visibly Oiled","Dead",1,"2010-08-21",4,2010-08-21,34,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"76",76,"Black Skimmer",29.29545,-89.66644,"Visibly Oiled","Dead",1,"2010-08-30",4,2010-08-30,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"77",77,"Black Skimmer",30.15455,-89.19493,"Unknown","Dead",1,"2010-09-05",5,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"78",78,"Black Skimmer",30.21933,-88.93992,"Unknown","Dead",1,"2010-07-31",5,2010-07-31,31,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"79",79,"Black Skimmer",30.39099,-88.97136,"Not Visibly Oiled","Dead",1,"2010-08-13",3,2010-08-13,33,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"80",80,"Black Skimmer",29.8523,-89.271,"Not Visibly Oiled","Dead",1,"2010-07-28",3,2010-07-28,31,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"81",81,"Black Skimmer",29.39139,-89.32146,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"82",82,"Black Skimmer",29.29561,-89.6618,"Not Visibly Oiled","Dead",1,"2010-09-13",3,2010-09-13,38,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"83",83,"Black Skimmer",30.39098,-88.97121,"Not Visibly Oiled","Dead",1,"2010-07-12",3,2010-07-12,29,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"84",84,"Black Skimmer",29.39115,-89.32151,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"85",85,"Black Skimmer",29.29543,-89.66653,"Not Visibly Oiled","Dead",1,"2010-09-13",3,2010-09-13,38,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"86",86,"Black Skimmer",29.39135,-89.32151,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"87",87,"Black Skimmer",29.51155,-89.16273,"Visibly Oiled","Dead",1,"2010-07-22",4,2010-07-22,30,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"88",88,"Black Skimmer",29.03302,-90.26264,"Unknown","Dead",1,"2010-06-26",5,2010-06-26,26,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"89",89,"Black Skimmer",29.29543,-89.66653,"Not Visibly Oiled","Dead",1,"2010-09-13",3,2010-09-13,38,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"90",90,"Black Skimmer",30.06896,-89.20711,"Not Visibly Oiled","Dead",1,"2010-09-10",3,2010-09-10,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"91",91,"Black Skimmer",30.15455,-89.19493,"Not Visibly Oiled","Dead",1,"2010-09-06",3,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"92",92,"Black Skimmer",30.15455,-89.19493,"Not Visibly Oiled","Dead",1,"2010-09-06",3,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"94",94,"Black Skimmer",29.18744,-89.31577,"Visibly Oiled","Dead",1,"2010-07-30",4,2010-07-30,31,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"95",95,"Black Skimmer",30.39107,-88.96983,"Not Visibly Oiled","Dead",1,"2010-08-10",3,2010-08-10,33,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"96",96,"Black Skimmer",30.06896,-89.20711,"Not Visibly Oiled","Dead",1,"2010-09-10",3,2010-09-10,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"97",97,"Black Skimmer",30.24773,-88.87305,"Visibly Oiled","Dead",1,"2010-07-14",4,2010-07-14,29,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"98",98,"Black Skimmer",29.93466,-89.22839,"Visibly Oiled","Dead",1,"2010-08-13",4,2010-08-13,33,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"99",99,"Black Skimmer",30.39098,-88.97121,"Not Visibly Oiled","Dead",1,"2010-07-12",3,2010-07-12,29,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"100",100,"Black Skimmer",30.15455,-89.19493,"Not Visibly Oiled","Dead",1,"2010-09-06",3,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"101",101,"Black Skimmer",29.29603,-89.66555,"Not Visibly Oiled","Dead",1,"2010-07-31",3,2010-07-31,31,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"102",102,"Black Skimmer",29.39129,-89.3214,"Visibly Oiled","Dead",1,"2010-09-06",4,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"103",103,"Black Skimmer",30.39127,-88.97272,"Visibly Oiled","Dead",1,"2010-07-04",4,2010-07-04,27,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"104",104,"Black Skimmer",30.3916,-88.9683,"Not Visibly Oiled","Dead",1,"2010-07-13",3,2010-07-13,29,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"105",105,"Black Skimmer",30.21232,-88.97197,"Not Visibly Oiled","Dead",1,"2010-07-22",3,2010-07-22,30,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"106",106,"Black Skimmer",29.11278,-89.18933,"Not Visibly Oiled","Dead",1,"2010-09-02",3,2010-09-02,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"107",107,"Black Skimmer",30.15455,-89.19493,"Not Visibly Oiled","Dead",1,"2010-09-05",3,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"108",108,"Black Skimmer",30.15455,-89.19493,"Not Visibly Oiled","Dead",1,"2010-09-05",3,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"109",109,"Black Skimmer",29.02788,-90.45557,"Not Visibly Oiled","Dead",1,"2010-07-19",3,2010-07-19,30,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"110",110,"Black Skimmer",29.39122,-89.32127,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"111",111,"Black Skimmer",30.06896,-89.20711,"Not Visibly Oiled","Dead",1,"2010-09-10",3,2010-09-10,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"112",112,"Black Skimmer",30.21123,-88.98383,"Unknown","Dead",1,"2010-08-05",5,2010-08-05,32,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"113",113,"Black Skimmer",30.06017,-89.18014,"Visibly Oiled","Dead",1,"2010-07-19",4,2010-07-19,30,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"114",114,"Black Skimmer",29.3097,-89.89216,"Visibly Oiled","Dead",1,"2010-10-08",4,2010-10-08,41,0,"Gulls, Terns, Skimmers, Skuas","Laridae","09-20-2010 to 10-18-210"
"115",115,"Black Skimmer",30.20931,-88.95461,"Not Visibly Oiled","Dead",1,"2010-08-02",3,2010-08-02,32,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"116",116,"Black Skimmer",30.21919,-88.90959,"Unknown","Dead",1,"2010-07-31",5,2010-07-31,31,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"117",117,"Black Skimmer",29.39139,-89.32146,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"118",118,"Black Skimmer",30.21359,-88.95141,"Not Visibly Oiled","Dead",1,"2010-09-02",3,2010-09-02,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"120",120,"Black Skimmer",30.15455,-89.19493,"Unknown","Dead",1,"2010-09-05",5,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"121",121,"Black Skimmer",30.21079,-88.98458,"Unknown","Dead",1,"2010-07-31",5,2010-07-31,31,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"123",123,"Black Skimmer",30.15455,-89.19493,"Unknown","Dead",1,"2010-09-05",5,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"124",124,"Black Skimmer",29.39129,-89.3124,"Unknown","Dead",1,"2010-09-07",5,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"125",125,"Black Skimmer",29.29547,-89.66724,"Visibly Oiled","Dead",1,"2010-08-06",4,2010-08-06,32,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"126",126,"Black Skimmer",30.39099,-88.97136,"Not Visibly Oiled","Dead",1,"2010-08-13",3,2010-08-13,33,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"127",127,"Black Skimmer",30.39114,-88.96764,"Not Visibly Oiled","Dead",1,"2010-07-11",3,2010-07-11,28,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"128",128,"Black Skimmer",29.38421,-89.40896,"Not Visibly Oiled","Dead",1,"2010-08-19",3,2010-08-19,34,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"129",129,"Black Skimmer",30.15455,-89.19493,"Unknown","Dead",1,"2010-09-05",5,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"130",130,"Black Skimmer",30.15455,-89.19493,"Unknown","Dead",1,"2010-09-05",5,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"131",131,"Black Skimmer",29.29619,-89.66589,"Not Visibly Oiled","Dead",1,"2010-09-01",3,2010-09-01,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"132",132,"Black Skimmer",29.39122,-89.32127,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"133",133,"Black Skimmer",29.8521,-89.27131,"Visibly Oiled","Dead",1,"2010-07-20",4,2010-07-20,30,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"134",134,"Black Skimmer",30.39115,-88.96784,"Not Visibly Oiled","Dead",1,"2010-07-13",3,2010-07-13,29,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"135",135,"Black Skimmer",30.39129,-88.97233,"Not Visibly Oiled","Dead",1,"2010-07-06",3,2010-07-06,28,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"136",136,"Black Skimmer",29.39129,-89.3214,"Visibly Oiled","Dead",1,"2010-09-06",4,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"137",137,"Black Skimmer",30.06896,-89.20711,"Not Visibly Oiled","Dead",1,"2010-09-10",3,2010-09-10,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"138",138,"Black Skimmer",29.06822,-90.95671,"Visibly Oiled","Dead",1,"2010-07-14",4,2010-07-14,29,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"139",139,"Black Skimmer",30.33449,-89.17674,"Unknown","Dead",1,"2010-08-05",5,2010-08-05,32,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"140",140,"Black Skimmer",29.39129,-89.3214,"Unknown","Dead",1,"2010-09-07",5,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"141",141,"Black Skimmer",29.29766,-89.66583,"Visibly Oiled","Dead",1,"2010-08-10",4,2010-08-10,33,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"142",142,"Black Skimmer",29.39129,-89.3214,"Visibly Oiled","Dead",1,"2010-09-06",4,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"143",143,"Black Skimmer",30.152,-89.19883,"Not Visibly Oiled","Dead",1,"2010-08-19",3,2010-08-19,34,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"144",144,"Black Skimmer",29.3743,-89.82003,"Visibly Oiled","Dead",1,"2010-08-02",4,2010-08-02,32,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"145",145,"Black Skimmer",30.06896,-89.20711,"Not Visibly Oiled","Dead",1,"2010-09-10",3,2010-09-10,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"146",146,"Black Skimmer",29.04934,-90.84745,"Not Visibly Oiled","Dead",1,"2010-06-09",3,2010-06-09,24,0,"Gulls, Terns, Skimmers, Skuas","Laridae","05-05-2010 to 06-20-2010"
"147",147,"Black Skimmer",30.10129,-89.28268,"Unknown","Dead",1,"2010-09-08",5,2010-09-08,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"148",148,"Black Skimmer",29.39122,-89.32127,"Unknown","Dead",1,"2010-09-05",5,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"149",149,"Black Skimmer",29.38975,-89.32091,"Not Visibly Oiled","Dead",1,"2010-08-31",3,2010-08-31,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"150",150,"Black Skimmer",29.28133,-89.96715,"Unknown","Dead",1,"2010-07-31",5,2010-07-31,31,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"151",151,"Black Skimmer",30.39088,-88.97123,"Not Visibly Oiled","Dead",1,"2010-07-12",3,2010-07-12,29,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"152",152,"Black Skimmer",29.0677,-90.95626,"Unknown","Dead",1,"2010-05-25",5,2010-05-25,22,0,"Gulls, Terns, Skimmers, Skuas","Laridae","05-05-2010 to 06-20-2010"
"154",154,"Black Skimmer",30.12399,-89.23098,"Not Visibly Oiled","Dead",1,"2010-09-05",3,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"155",155,"Black Skimmer",30.39115,-88.96871,"Not Visibly Oiled","Dead",1,"2010-07-11",3,2010-07-11,28,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"156",156,"Black Skimmer",30.15455,-89.19493,"Unknown","Dead",1,"2010-09-05",5,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"157",157,"Black Skimmer",30.21048,-88.98373,"Not Visibly Oiled","Dead",1,"2010-07-31",3,2010-07-31,31,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"158",158,"Black Skimmer",30.152,-89.19883,"Not Visibly Oiled","Dead",1,"2010-08-19",3,2010-08-19,34,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"160",160,"Black Skimmer",29.39139,-89.32146,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"161",161,"Black Skimmer",30.39085,-88.97457,"Not Visibly Oiled","Dead",1,"2010-07-19",3,2010-07-19,30,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"162",162,"Black Skimmer",30.36293,-89.09846,"Not Visibly Oiled","Dead",1,"2010-07-11",3,2010-07-11,28,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"163",163,"Black Skimmer",29.29619,-89.66589,"Not Visibly Oiled","Dead",1,"2010-09-01",3,2010-09-01,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"164",164,"Black Skimmer",29.11278,-89.18933,"Unknown","Dead",1,"2010-09-02",5,2010-09-02,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"165",165,"Black Skimmer",30.24162,-88.77597,"Visibly Oiled","Dead",1,"2010-07-10",4,2010-07-10,28,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"166",166,"Black Skimmer",30.24162,-88.77597,"Visibly Oiled","Dead",1,"2010-07-10",4,2010-07-10,28,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"167",167,"Black Skimmer",29.31155,-89.16273,"Visibly Oiled","Dead",1,"2010-07-22",4,2010-07-22,30,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"168",168,"Black Skimmer",29.29543,-89.66653,"Not Visibly Oiled","Dead",1,"2010-09-13",3,2010-09-13,38,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"169",169,"Black Skimmer",30.23407,-88.28705,"Visibly Oiled","Dead",1,"2010-08-19",4,2010-08-19,34,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"170",170,"Black Skimmer",29.8523,-89.271,"Visibly Oiled","Dead",1,"2010-07-28",4,2010-07-28,31,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"171",171,"Black Skimmer",29.39129,-89.3214,"Visibly Oiled","Dead",1,"2010-09-06",4,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"172",172,"Black Skimmer",30.39078,-88.97303,"Visibly Oiled","Dead",1,"2010-07-06",4,2010-07-06,28,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"173",173,"Black Skimmer",30.39146,-88.96909,"Not Visibly Oiled","Dead",1,"2010-07-15",3,2010-07-15,29,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"174",174,"Black Skimmer",30.24773,-88.87305,"Visibly Oiled","Dead",1,"2010-07-08",4,2010-07-08,28,0,"Gulls, Terns, Skimmers, Skuas","Laridae","06-21-2010 to 08-01-2010"
"175",175,"Black Skimmer",29.39122,-89.32127,"Not Visibly Oiled","Dead",1,"2010-09-07",3,2010-09-07,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"177",177,"Black Skimmer",30.15455,-89.19493,"Unknown","Dead",1,"2010-09-05",5,2010-09-05,36,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"178",178,"Black Skimmer",29.39129,-89.3214,"Visibly Oiled","Dead",1,"2010-09-06",4,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"180",180,"Black Skimmer",29.39129,-89.3214,"Visibly Oiled","Dead",1,"2010-09-06",4,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"181",181,"Black Skimmer",29.39129,-89.3214,"Visibly Oiled","Dead",1,"2010-09-06",4,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"182",182,"Black Skimmer",29.13868,-90.13261,"Visibly Oiled","Dead",1,"2010-08-08",4,2010-08-08,32,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
"183",183,"Black Skimmer",30.15455,-89.19493,"Not Visibly Oiled","Dead",1,"2010-09-06",3,2010-09-06,37,0,"Gulls, Terns, Skimmers, Skuas","Laridae","08-02-2010 to 09-19-2010"
